onset	duration	valence	arousal	flubber_frequency	flubber_amplitude
506003.2011782556	n/a				1.0
506003.2123978179	n/a				1.0
506003.22346878593	n/a				1.0
506003.23447335657	n/a				1.0
506003.2455853231	n/a				1.0
506003.25672218855	n/a				1.0
506003.2678530542	n/a				1.0
506003.2790613169	n/a				1.0
506003.2902456806	n/a				1.0
506003.301103057	n/a				1.0
506003.312201724	n/a				1.0
506003.3233515889	n/a				1.0
506003.334499454	n/a				1.0
506003.345648019	n/a				1.0
506003.35685318185	n/a				1.0
506003.36803044577	n/a				1.0
506003.37899741787	n/a				1.0
506003.39004708675	n/a				1.0
506003.40117055277	n/a				1.0
506003.4121676237	n/a				1.0
506003.42332188855	n/a				1.0
506003.43439145666	n/a				1.0
506003.4459359062	n/a				1.0
506003.45670708595	n/a				1.0
506003.4677903535	n/a				1.0
506003.4792301072	n/a				1.0
506003.48998408765	n/a				1.0
506003.50104635605	n/a				1.0
506003.5121395232	n/a				1.0
506003.5233176871	n/a				1.0
506003.5344504528	n/a				1.0
506003.545515521	n/a				1.0
506003.5567330834	n/a				1.0
506003.5678618492	n/a				1.0
506003.57896791585	n/a				1.0
506003.59004348377	n/a				1.0
506003.60097555723	n/a				1.0
506003.61218122	n/a				1.0
506003.62325108814	n/a				1.0
506003.634454951	n/a				1.0
506003.64544122235	n/a				1.0
506003.6567164825	n/a				1.0
506003.66771765327	n/a				1.0
506003.6788493189	n/a				1.0
506003.6900491819	n/a				1.0
506003.7009964548	n/a				1.0
506003.71214631986	n/a				1.0
506003.7231536904	n/a				1.0
506003.7343513535	n/a				1.0
506003.74552221765	n/a				1.0
506003.7566283843	n/a				1.0
506003.76759755635	n/a				1.0
506003.77877022047	n/a				1.0
506003.7904988628	n/a				1.0
506003.80093855556	n/a				1.0
506003.8121568178	n/a				1.0
506003.8231238899	n/a				1.0
506003.8343082536	n/a				1.0
506003.84551541635	n/a				1.0
506003.85654318606	n/a				1.0
506003.8675954549	n/a				1.0
506003.8787326204	n/a				1.0
506003.8898697858	n/a				1.0
506003.9010051514	n/a				1.0
506003.91204932047	n/a				1.0
506003.92305099126	n/a				1.0
506003.93415305804	n/a				1.0
506003.9453221223	n/a				1.0
506003.9563936903	n/a				1.0
506003.9675028569	n/a				1.0
506003.9786833207	n/a				1.0
506003.98967159196	n/a				1.0
506004.0008300566	n/a				1.0
506004.01192492375	n/a				1.0
506004.0229963918	n/a				1.0
506004.0341255576	n/a				1.0
506004.04545451555	n/a				1.0
506004.05635759013	n/a				1.0
506004.0679542377	n/a				1.0
506004.0786689197	n/a				1.0
506004.0897980855	n/a				1.0
506004.1007991563	n/a				1.0
506004.11201781855	n/a				1.0
506004.1230644876	n/a				1.0
506004.13407555793	n/a				1.0
506004.1452776209	n/a				1.0
506004.1563531888	n/a				1.0
506004.167522253	n/a				1.0
506004.1787437152	n/a				1.0
506004.1896375902	n/a				1.0
506004.20086035226	n/a				1.0
506004.2118095251	n/a				1.0
506004.2231809814	n/a				1.0
506004.2341315542	n/a				1.0
506004.24518472294	n/a				1.0
506004.2563040891	n/a				1.0
506004.2674343549	n/a				1.0
506004.2787380138	n/a				1.0
506004.28963618865	n/a				1.0
506004.3006401593	n/a				1.0
506004.3117681251	n/a				1.0
506004.32302458596	n/a				1.0
506004.33398515836	n/a				1.0
506004.345142223	n/a				1.0
506004.35622099077	n/a				1.0
506004.36739385483	n/a				1.0
506004.3785924179	n/a				1.0
506004.38961178804	n/a				1.0
506004.4006972555	n/a				1.0
506004.4122284056	n/a				1.0
506004.4227937934	n/a				1.0
506004.43398295686	n/a				1.0
506004.4451243222	n/a				1.0
506004.45615519176	n/a				1.0
506004.4673074567	n/a				1.0
506004.4785920164	n/a				1.0
506004.4895526887	n/a				1.0
506004.50068325445	n/a				1.0
506004.5116625261	n/a				1.0
506004.52278159227	n/a				1.0
506004.53414724884	n/a				1.0
506004.5449630269	n/a				1.0
506004.5561633899	n/a				1.0
506004.5673288543	n/a				1.0
506004.57869431085	n/a				1.0
506004.5894386916	n/a				1.0
506004.60054065846	n/a				1.0
506004.61179511936	n/a				1.0
506004.62274809205	n/a				1.0
506004.6339595546	n/a				1.0
506004.6450804207	n/a				1.0
506004.65599299496	n/a				1.0
506004.6671718588	n/a				1.0
506004.67843351944	n/a				1.0
506004.68940359144	n/a				1.0
506004.700537357	n/a				1.0
506004.71158362605	n/a				1.0
506004.7232182721	n/a				1.0
506004.73376226076	n/a				1.0
